report_period,INF_Sentiment,INF_Duration,DRV_Demand,DRV_Supply,DRV_External,DRV_Monetary,POL_Tone,POL_Priority,TXT_Ambiguity,TXT_Confidence
2015-Q2,-3.5,0.8,7.5,8.0,6.5,2.0,-8.0,3.0,4.0,6.5
2015-Q3,-6.5,0.8,7.0,8.5,8.0,2.0,-7.0,6.5,4.0,7.5
2015-Q4,-6.5,0.8,7.0,9.0,8.5,2.0,-7.5,4.5,4.0,7.5
2016-Q1,4.5,0.4,6.0,8.0,3.0,7.5,-2.0,6.5,6.0,7.0
2016-Q2,1.5,0.3,3.5,7.5,6.0,6.5,1.0,4.5,7.5,6.0
2016-Q3,2.0,0.4,7.0,8.0,6.0,3.0,1.5,4.5,6.0,7.5
2016-Q4,4.5,0.7,6.0,9.0,7.5,3.0,6.0,5.5,5.0,7.5
2017-Q1,1.0,0.3,6.0,7.5,7.0,3.0,6.5,7.0,4.0,7.5
2017-Q2,0.0,0.2,6.5,7.0,5.0,2.0,3.0,3.0,4.5,8.0
2017-Q3,2.5,0.4,5.0,8.0,2.0,3.0,3.0,4.5,3.5,8.0
2017-Q4,2.5,0.4,3.0,8.0,6.0,1.0,4.0,5.0,3.5,8.0
2018-Q1,0.5,0.2,4.0,7.0,5.0,1.0,4.0,3.0,4.0,8.0
2018-Q2,0.5,0.2,4.0,4.0,7.0,2.0,-3.0,3.0,6.5,7.5
2018-Q3,1.5,0.2,1.0,8.5,5.0,1.0,-4.5,4.0,7.5,6.5
2018-Q4,0.0,0.2,2.0,3.0,5.0,1.0,-7.0,3.0,7.0,8.0
2019-Q1,1.0,0.0,3.0,2.0,4.0,3.0,0.0,5.0,6.0,6.0
2019-Q2,2.5,0.3,2.0,9.0,4.0,2.0,-4.0,4.0,3.0,7.5
2019-Q3,4.5,0.2,1.0,9.5,2.0,0.5,-7.0,6.5,4.0,8.5
2019-Q4,2.0,0.2,2.0,9.5,3.0,1.0,-7.5,4.0,3.5,8.0
2020-Q1,0.0,0.1,1.0,9.0,6.0,2.0,-8.0,3.0,7.0,8.0
2020-Q2,0.0,0.2,6.5,9.0,5.0,2.0,-3.0,3.0,3.0,8.5
2020-Q3,0.0,0.1,6.5,7.5,3.0,2.0,2.0,5.0,4.5,8.5
2020-Q4,0.5,0.1,4.5,7.5,2.0,1.0,1.5,3.0,6.5,8.5
2021-Q1,1.5,0.2,4.0,7.5,9.0,1.0,1.0,4.5,3.0,8.5
2021-Q2,0.5,0.1,2.0,8.5,9.0,1.0,-2.5,3.0,4.5,8.5
2021-Q3,0.5,0.2,2.0,9.0,8.5,1.0,-3.0,3.0,3.5,8.5
2021-Q4,0.5,0.2,2.0,8.0,9.0,1.0,-8.0,3.0,3.5,8.5
2022-Q1,2.0,0.3,2.5,7.0,9.0,1.0,-6.5,4.0,4.5,8.5
2022-Q2,4.5,0.7,4.0,8.5,7.5,1.0,-6.0,8.5,4.0,7.5
2022-Q3,3.5,0.6,2.0,7.5,6.0,6.5,-4.0,5.0,4.5,8.5
2022-Q4,2.5,0.3,4.0,2.0,7.5,3.0,-6.0,4.5,3.5,8.0
2023-Q1,-2.5,0.2,8.5,6.0,4.5,1.5,-4.0,3.0,6.5,8.0
2023-Q2,-3.5,0.2,9.0,4.5,3.0,1.0,-8.0,4.0,3.0,8.5
2023-Q3,-3.5,0.2,7.5,8.0,3.0,2.0,-7.0,4.5,6.5,8.0
2023-Q4,-3.5,0.3,9.5,6.0,3.0,1.0,-7.0,8.5,3.5,8.0
2024-Q1,-3.5,0.4,9.0,7.0,4.5,1.5,-7.0,8.5,5.5,8.0
2024-Q2,-3.5,0.3,8.5,7.0,4.5,2.0,-7.5,8.0,3.5,8.5
2024-Q3,-4.5,0.3,9.0,6.5,7.5,2.0,-8.5,8.0,4.5,8.5
2024-Q4,-6.5,0.4,9.0,3.0,6.0,2.0,-8.5,9.0,3.0,8.5
2025-Q1,-8.5,0.85,9.5,8.0,4.0,2.0,-9.5,9.0,5.0,7.5
2025-Q2,-2.5,0.3,8.5,6.5,4.0,1.5,-9.0,8.5,2.0,7.5
2025-Q3,-7.5,0.3,8.5,6.0,3.0,1.5,-9.0,9.5,2.5,8.0
2025-Q4,-7.5,0.4,9.0,6.5,5.0,2.0,-9.5,9.0,2.5,8.5
